HUMIDITY,       PH,     RAIN,TEMPARATURE,        N,        P,        K
4,0.02,1023,31.36,0,19,30
3,0,1023,31.85,0,21,28
5,0.03,1023,31.36,0,20,29
4,0.02,1023,31.85,0,16,28
4,0,1023,31.36,0,20,30
4,0,1023,31.36,0,21,29
3,0,1023,31.85,0,16,29
2,0,1023,31.85,0,22,30
4,0,1023,31.85,0,21,29
5,0,1023,31.36,0,20,30
4,0.02,1023,31.36,0,18,30
3,0,1023,31.85,0,17,28
3,0.02,1023,30.38,0,18,27
4,0.03,1023,31.36,0,19,30
5,0,1023,31.36,0,19,30
1,0.02,1023,31.36,0,18,31
4,0.05,1023,31.36,0,20,29
5,0.02,1023,31.85,0,20,27
4,0.07,1023,31.85,0,18,30
5,0.06,1023,31.36,0,19,30
4,0.08,1023,31.36,0,19,30
5,0.12,1023,31.85,0,18,30
4,0.01,1023,31.36,0,26,26
5,0.04,1023,30.87,0,16,30
4,0.07,1023,31.36,0,20,30
6,0.05,1023,31.85,0,18,30
4,0.05,1023,31.36,0,19,31
5,0.04,1023,31.85,0,20,30
6,0.08,1023,31.36,0,18,28
5,0,1023,32.83,0,18,28
3,0,1023,31.36,0,21,30
1,0,1023,31.85,0,20,31
4,0,1023,31.36,0,19,29
3,0,1023,31.36,0,20,30
4,0,1023,31.85,0,21,25
4,0,1023,31.36,0,15,29
4,0,1023,31.85,0,21,31
4,0.03,1023,31.36,0,18,30
4,0,1023,31.85,0,20,29
5,0,1023,31.36,0,15,29
4,0,1023,31.36,0,19,30
4,0,1023,31.36,0,21,29
4,0,1023,31.36,0,22,28
4,0,1023,31.36,0,18,29
4,0,1023,31.85,0,20,28
5,0,1023,31.85,0,18,28
5,0,1023,31.36,0,24,31
4,0,1023,31.36,0,21,28
4,0,1023,31.36,0,19,28
6,0,1023,31.36,0,20,30
3,0,1023,31.36,0,20,28
5,0.01,1023,31.36,0,16,29
3,0,1023,30.87,0,20,30
4,0,1023,31.36,0,20,30
2,0,1023,31.36,0,26,29
2,0,1023,31.36,0,19,30
4,0.01,1023,31.36,0,23,29
5,0,1023,31.36,0,18,29
4,0,1023,31.36,0,20,30
4,0,1023,30.87,0,18,29
3,0,1023,31.36,0,19,28
4,0,1023,31.36,0,18,30
3,0.02,1023,31.36,0,21,31
6,0,1023,31.36,0,12,30
5,0,1023,31.36,0,20,29
0,0,1023,31.36,0,19,32
4,0.02,1023,31.36,0,22,28
4,0.07,1023,31.36,0,20,26
3,0.01,1023,31.36,0,19,29
4,0.05,1023,31.36,0,19,29
3,0.02,1023,30.87,0,19,30
4,0.06,1023,31.36,0,20,29
4,0.05,1023,31.36,0,19,29
6,0.03,1023,31.36,0,23,29
4,0,1023,31.36,0,17,29
4,0.09,1023,31.36,0,19,31
2,0.01,1023,31.36,0,18,29
4,0,1023,31.36,0,19,29
7,0.02,1023,31.36,0,20,29
3,0.06,1023,31.36,0,20,25
4,0.02,1023,31.36,0,22,29
3,0,1023,32.34,0,20,31
5,0,1023,31.36,0,19,28
4,0,1023,31.36,0,18,29
4,0,1023,31.36,0,19,31
4,0,1023,31.36,0,18,29
5,0.01,1023,31.36,0,19,30
4,0,1023,31.36,0,15,29
5,0.02,1023,31.36,0,16,29
4,0.02,1023,30.87,0,18,28
5,0,1023,31.36,0,18,28
5,0,1023,31.36,0,19,34
6,0,1023,31.36,0,18,29
5,0.06,1023,31.36,0,18,30
5,0,1023,31.36,0,20,29
2,0,1023,31.36,0,18,30
5,0,1023,31.85,0,19,28
5,0,1023,31.85,0,22,29
3,0.01,1023,31.36,0,21,27
5,0,1023,31.36,0,19,31
2,0.02,1023,31.36,0,14,29
5,0.05,1023,31.36,0,18,28
5,0,1023,31.36,0,20,29
4,0.02,1023,31.36,0,21,29
4,0,1023,30.38,0,27,29
2,0,1023,31.36,0,20,28
4,0,1023,31.36,0,21,31
4,0,1023,31.85,0,20,29
4,0.02,1023,30.87,0,17,28
4,0.01,1023,31.36,0,13,30
4,0.01,1023,31.36,0,20,30
4,0,1023,31.85,0,16,30
5,0,1023,31.36,0,16,30
5,0,1023,31.36,0,19,33
4,0,1023,31.85,0,21,29
4,0.01,1023,31.36,0,19,31
5,0,1023,31.85,0,26,29
5,0,1023,31.85,0,19,29
5,0,1023,31.36,0,20,31
2,0,1023,31.85,0,21,29
4,0.01,1023,31.36,0,19,32
5,0.01,1023,31.36,0,23,30
4,0,1023,31.36,0,19,28
3,0,1023,31.36,0,20,28
6,0,1023,31.36,0,25,29
4,0,1023,31.36,0,21,30
3,0.01,1023,30.87,0,17,28
5,0,1023,31.36,0,19,27
4,0.01,1023,31.36,0,18,29
5,0,1023,31.36,0,22,28
5,0,1023,31.36,0,21,32
3,0,1023,31.36,0,20,29
5,0,1023,31.36,0,17,29
4,0.02,1023,32.34,0,12,29
5,0.02,1023,31.36,0,18,31
4,0,1023,31.36,0,20,28
4,0,1023,31.36,0,17,29
6,0.14,1023,31.85,0,11,31
4,0.02,1023,31.36,0,14,29
4,0.12,1023,31.36,0,11,28
3,0,1023,31.36,0,10,29
4,0,1023,30.87,0,10,30
3,2.27,1023,31.36,0,15,27
4,0.02,1023,31.36,0,8,30
5,0.01,1023,31.36,0,14,30
6,0.07,1023,31.85,0,19,29
5,0.04,1023,31.36,0,12,31
4,0.13,1023,31.85,0,10,31
5,0.09,1023,31.36,0,12,30
4,0.03,1023,31.85,0,10,28
4,0.02,1023,31.36,0,10,28
4,0,1023,31.36,0,10,31
4,0,1023,31.36,0,9,30
2,0,1023,31.36,0,10,32
4,0,1023,31.36,0,38,30
5,0.01,1023,31.85,0,37,30
3,0.01,1023,32.34,0,34,29
5,0.02,1023,31.36,0,30,28
5,0,1023,31.36,0,24,32
5,0,1023,31.36,0,27,29
4,0.02,1023,31.36,0,27,29
6,0.04,1023,31.36,0,23,31
4,0.1,1023,31.36,0,0,29
4,0.09,1023,30.87,0,0,29
4,0.02,1023,31.36,0,0,29
5,0.02,1023,31.36,0,0,31
5,0.06,1023,31.36,0,0,28
4,0.06,1023,31.36,0,0,30
5,0,1023,31.36,0,0,31
5,0,1023,31.36,0,0,30
5,0,1023,31.36,0,0,30
2,0,1023,31.36,0,0,29
9,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,29
6,0,1023,31.36,0,0,30
4,0,1023,31.36,0,0,28
5,0.01,1023,31.85,0,0,28
6,0,1023,31.36,0,0,30
5,0,1023,32.83,0,0,27
4,0.05,1023,31.85,0,0,29
4,0.02,1023,31.36,0,0,31
5,0.02,1023,31.36,0,0,29
7,0,1023,31.36,0,0,31
7,0,1023,31.36,0,0,28
4,0.01,1023,31.36,0,0,30
4,0.01,1023,31.36,0,0,29
5,0.02,1023,31.85,0,0,29
5,0,1023,31.85,0,0,30
4,0.05,1023,31.36,0,0,29
5,0.02,1023,31.85,0,0,29
6,0.05,1023,30.87,0,0,29
4,0.02,1023,31.36,0,0,29
4,0,1023,31.36,0,0,23
4,0,1023,31.85,0,0,29
3,0,1023,32.34,0,0,31
0,0.09,1023,31.36,0,0,29
3,0,1023,30.87,0,0,27
4,0,1023,31.36,0,0,31
7,0,1023,31.36,0,0,28
5,0,1023,31.36,0,0,29
5,0.02,1023,31.85,0,0,28
3,0,1023,31.36,0,0,32
5,0,1023,31.36,0,0,30
1,0.02,1023,31.36,0,0,29
6,0,1023,30.87,0,0,28
5,0,1023,31.85,0,0,29
3,0,1023,31.36,0,0,28
6,0,1023,31.36,0,0,30
3,0,1023,31.36,0,0,29
4,0,1023,31.36,0,0,30
4,0.02,1023,31.85,0,0,30
6,0,1023,31.36,0,0,28
3,0,1023,31.36,0,0,29
3,0,1023,31.36,0,0,31
2,0,1023,31.36,0,0,31
4,0,1023,31.36,0,0,29
5,0,1023,30.87,0,0,28
4,0,1023,31.36,0,0,29
5,0,1023,31.36,0,0,29
7,0,1023,32.34,0,0,29
10,0,1023,31.36,0,0,30
4,0.03,1023,31.36,0,0,30
6,0,1023,31.85,0,0,30
